Total solar irradiance (W/m2),Air temperature  (°C) ,Relative humidity (%),Power (MW)
521.25,25.6,61.48,18.89
572.66,27.81,56.13,19.35
533.13,25.44,49.47,18.8
614.9,24.76,49.59,22.79
541.71,30.22,53.5,20.28
603.72,26.42,51.92,21.6
554.47,31.86,51.88,19.79
664.39,29.84,47.38,19.46
530.74,25.65,56.0,19.92
631.46,27.92,50.45,17.98
600.0,31.39,46.2,17.39
498.18,25.78,54.29,19.67
491.83,31.87,56.44,15.6
429.13,26.07,56.61,13.79
453.12,26.06,53.12,14.33
374.11,26.6,49.72,14.23
331.88,30.89,52.79,12.7
337.29,28.3,47.33,13.1
323.22,31.32,57.46,11.64
253.15,28.31,57.68,7.93
237.61,26.2,51.04,6.78
176.1,30.18,51.45,5.11
126.27,27.28,56.04,4.94
90.26,26.48,51.61,2.68
72.91,25.68,58.84,1.41
44.35,28.63,62.2,0.57
28.59,27.07,53.28,0.31
0.0,27.69,61.5,0.0
0.0,24.33,55.89,0.0
0.0,25.4,57.36,0.0
98.91,20.2,68.08,3.47
129.75,24.5,63.06,5.43
199.92,25.31,56.43,6.7
237.08,25.48,58.43,9.81
321.56,22.94,58.09,10.12
354.09,24.86,54.4,10.36
485.24,25.74,54.11,12.2
558.85,27.08,48.78,13.1
616.79,31.97,45.98,15.87
687.53,28.68,41.39,16.27
799.34,27.67,41.3,19.18
671.13,27.83,40.11,19.17
704.7,31.86,38.77,20.41
775.7,32.21,36.75,21.23
774.16,34.96,40.49,22.46
928.36,29.65,35.17,24.73
792.03,35.25,35.46,22.78
966.85,38.64,37.17,25.08
835.73,33.39,36.32,21.24
909.1,33.27,31.42,24.33
988.93,39.03,30.03,26.22
925.72,37.14,29.19,21.45
970.94,33.78,29.01,22.61
977.4,33.03,27.07,22.73
964.95,36.42,29.61,22.77
926.04,38.57,28.27,21.31
852.66,33.46,27.58,19.79
967.04,36.12,30.12,24.27
896.09,34.47,25.52,19.99
794.6,40.81,25.52,21.23
755.27,33.01,31.32,17.92
748.02,36.22,30.65,20.69
576.87,40.3,31.71,19.19
598.15,39.04,27.21,15.66
518.76,34.75,29.98,14.45
475.94,37.62,35.52,13.64
410.27,35.16,34.34,11.82
349.66,32.54,35.95,13.19
277.25,32.17,37.85,10.25
234.0,35.86,39.24,8.75
203.8,34.16,40.13,7.59
126.4,31.01,38.36,5.57
97.21,37.83,41.0,2.62
63.08,30.24,42.19,1.16
36.84,30.44,42.72,0.59
0.0,32.47,45.16,0.0
0.0,34.69,48.82,0.0
0.0,29.73,43.96,0.0
117.53,18.09,74.38,3.64
140.61,18.93,73.4,5.06
174.75,18.78,64.2,5.57
267.93,20.74,68.99,9.28
327.03,18.73,65.91,10.22
409.96,21.87,70.04,9.5
495.44,21.4,61.96,11.05
560.67,23.62,59.4,14.37
612.32,24.49,53.37,13.49
635.84,20.16,60.42,18.61
646.85,21.17,57.1,18.41
726.56,22.68,47.3,20.45
678.86,24.92,51.55,22.25
746.85,26.52,52.03,19.76
796.92,23.19,46.21,24.01
788.58,23.62,46.57,21.1
816.3,24.38,39.85,22.19
811.84,23.54,40.14,23.36
932.65,24.51,44.57,25.77
1051.47,23.69,37.15,24.87
893.89,23.85,40.5,23.68
898.19,23.34,39.87,24.88
877.78,23.86,38.54,21.16
890.89,26.53,35.0,24.28
1065.94,26.6,33.47,24.23
947.84,26.0,37.5,23.65
1019.67,27.17,33.77,22.06
912.11,28.36,38.03,22.47
987.76,24.94,34.37,23.63
790.58,24.13,32.47,19.67
862.38,27.2,34.92,18.2
746.72,29.86,37.55,18.72
750.07,28.45,38.31,17.54
672.99,23.38,39.22,15.14
533.47,28.93,34.44,14.41
490.65,23.14,38.09,14.58
427.34,27.79,39.07,11.79
369.86,24.76,39.46,12.69
324.0,23.82,40.88,9.5
290.2,24.26,42.58,7.52
200.14,23.64,38.93,6.21
128.96,26.2,40.68,3.75
103.5,26.63,42.64,2.25
57.85,24.57,47.66,0.79
34.48,23.14,41.45,0.46
0.0,24.68,43.2,0.0
0.0,24.47,44.59,0.0
0.0,19.79,55.39,0.0
109.46,13.65,65.33,3.33
157.5,17.57,63.17,4.95
206.4,15.09,59.51,6.56
229.46,14.76,58.24,8.67
355.67,18.64,56.05,11.3
435.87,16.93,60.14,10.54
447.65,20.06,56.02,13.13
556.61,18.79,61.26,12.7
697.96,19.85,48.98,16.28
641.79,21.88,49.5,16.73
692.67,21.58,53.07,17.14
875.33,18.28,41.34,14.98
778.06,20.52,44.63,17.36
876.64,20.49,45.61,17.54
843.48,23.82,39.93,20.07
883.0,19.8,34.62,20.21
856.01,21.48,40.32,18.69
858.08,20.3,35.78,19.21
865.5,22.06,32.95,20.91
1059.01,23.2,29.39,20.57
1102.85,25.77,29.67,21.02
926.24,25.85,27.88,22.37
1100.69,24.59,26.47,20.04
1036.61,22.92,23.57,18.89
1092.87,26.89,25.07,19.79
927.42,21.86,24.8,19.68
900.74,24.93,21.64,17.09
960.86,26.79,23.09,20.03
1032.61,26.89,21.45,19.59
788.21,26.44,20.53,18.3
844.16,23.03,23.5,15.54
834.49,22.81,24.63,14.79
749.17,25.31,25.55,16.86
654.96,26.17,24.78,16.04
615.47,22.54,25.42,15.41
550.27,22.86,28.74,14.3
453.75,22.44,27.76,13.76
419.17,23.08,28.18,10.08
329.86,23.58,31.43,7.61
277.6,21.59,29.2,8.14
186.62,22.43,31.14,5.93
132.25,19.07,32.96,4.39
85.33,22.17,32.1,2.0
63.06,19.33,39.59,0.78
33.31,18.89,36.17,0.45
0.0,18.57,38.94,0.0
0.0,18.22,38.6,0.0
0.0,17.26,46.69,0.0
93.27,16.64,55.31,4.11
111.27,16.62,65.29,5.87
172.37,18.85,56.13,6.67
208.94,18.36,50.94,8.67
288.19,18.85,49.07,11.54
373.78,20.47,47.46,9.99
369.5,19.3,47.0,11.51
514.73,21.0,50.3,15.05
553.77,19.24,44.55,17.37
634.89,20.06,44.09,16.7
570.77,21.94,41.16,18.83
698.26,20.87,40.23,18.72
681.01,23.65,32.45,19.94
698.82,23.68,35.81,21.11
625.26,23.83,32.93,21.18
756.01,28.09,32.81,24.07
733.68,28.39,28.35,20.42
691.74,26.3,28.98,20.28
728.06,25.33,27.22,23.12
821.77,28.71,25.25,23.76
869.38,27.34,24.23,24.3
701.85,27.22,23.1,24.61
879.49,27.22,23.36,21.73
740.37,25.83,21.23,22.63
746.3,25.46,21.13,21.4
756.78,27.95,23.81,21.75
853.13,28.86,21.14,21.41
752.02,30.91,23.41,22.54
788.02,30.54,20.35,22.64
700.07,30.26,20.91,17.71
595.35,27.61,22.94,17.24
588.57,25.79,21.23,16.32
566.01,25.48,23.29,17.86
463.2,31.61,21.73,17.69
442.39,25.02,22.75,15.03
410.91,27.46,25.67,13.07
357.29,27.29,25.54,13.4
329.28,27.68,25.97,11.81
229.77,28.54,25.67,9.54
213.62,25.9,30.91,8.14
141.06,26.69,29.69,5.33
99.08,24.64,29.05,3.99
71.71,22.56,33.21,1.96
44.25,27.48,29.79,0.72
22.27,23.77,29.52,0.36
0.0,21.73,28.84,0.0
0.0,24.31,35.73,0.0
0.0,26.17,32.22,0.0
90.33,16.37,64.74,3.71
107.56,14.11,57.97,5.16
170.09,13.78,63.29,6.33
206.62,17.15,56.57,8.17
282.86,14.17,53.46,9.98
313.72,14.71,58.05,11.12
410.3,15.87,49.12,10.46
433.79,18.67,57.46,14.27
480.93,18.17,55.18,14.64
577.68,19.57,46.63,17.98
630.08,19.36,50.66,21.2
541.14,18.09,42.89,21.18
698.89,20.49,38.27,19.22
685.54,19.56,36.79,18.83
597.04,18.61,38.61,20.98
683.18,22.7,38.98,21.86
751.47,18.96,32.46,22.68
738.12,19.16,36.53,20.87
693.48,24.0,36.72,24.58
739.15,20.45,33.02,21.07
818.09,22.22,36.29,24.92
714.83,23.37,38.27,22.96
738.43,23.5,31.83,22.09
763.3,22.24,36.69,21.81
814.72,25.38,37.4,23.85
782.15,22.37,33.5,21.48
856.36,22.31,37.31,20.78
739.84,23.55,32.35,19.62
661.9,23.7,32.28,22.51
672.25,22.08,36.95,18.49
560.57,20.67,36.48,16.84
548.01,24.15,31.21,16.56
494.15,21.53,32.55,16.86
515.07,21.5,37.97,15.61
418.96,21.76,37.82,15.72
360.69,23.27,36.96,14.62
316.69,24.38,36.74,11.71
302.94,21.0,36.02,9.33
239.35,18.92,36.05,7.92
208.35,22.29,41.04,7.47
142.83,19.46,40.36,4.65
109.84,22.1,39.05,3.21
60.31,20.71,43.52,1.93
38.88,19.37,44.24,0.65
21.83,21.49,38.58,0.39
0.0,21.5,41.03,0.0
0.0,19.33,42.57,0.0
0.0,18.08,45.97,0.0
94.99,15.06,80.68,1.95
121.32,14.97,82.06,1.89
160.82,17.12,77.66,3.02
157.62,18.06,75.89,3.07
219.95,17.25,70.67,4.07
253.22,16.28,68.69,3.97
283.69,16.23,71.3,5.41
310.95,16.36,72.46,5.95
287.28,15.74,59.81,5.68
356.74,16.11,66.97,5.66
320.49,16.73,59.27,6.26
338.53,19.24,58.99,5.69
378.64,18.54,55.72,5.92
425.92,20.09,59.07,6.65
390.53,18.06,54.79,6.66
368.86,21.0,56.13,7.78
451.49,17.92,58.99,8.0
421.55,17.17,59.52,8.12
472.15,21.3,61.61,6.9
487.65,17.15,60.38,8.89
416.52,20.5,59.46,7.8
451.54,18.31,57.56,7.63
410.94,17.7,51.14,7.51
471.76,19.66,52.16,7.4
510.47,18.0,55.19,7.29
442.29,22.43,51.58,8.7
432.5,18.95,52.3,7.79
432.51,19.05,59.84,6.85
404.22,19.16,50.11,7.78
404.18,18.62,51.32,6.21
371.77,20.79,52.16,6.45
357.4,18.01,53.27,5.37
325.11,18.29,58.41,4.63
246.1,17.96,56.48,5.27
235.27,18.96,59.46,4.91
226.02,19.66,56.24,4.69
207.0,22.51,51.25,3.26
154.93,18.54,55.77,3.18
128.78,18.48,58.4,2.51
110.75,22.01,52.82,2.0
86.02,18.75,61.1,1.16
62.95,20.95,52.42,0.43
32.5,18.06,59.34,0.22
20.94,20.42,52.76,0.0
14.44,18.7,55.22,0.0
0.0,18.75,66.1,0.0
0.0,17.42,64.87,0.0
0.0,17.08,58.91,0.0
102.0,16.66,78.75,3.91
133.27,20.22,74.88,4.9
178.53,20.01,83.46,5.98
244.6,18.66,68.98,8.63
349.24,21.01,66.89,9.05
403.03,19.87,59.54,12.26
429.22,23.01,67.67,14.27
499.4,23.06,60.39,13.37
682.53,24.52,52.67,17.91
634.02,23.85,54.87,17.56
665.04,23.98,43.47,18.28
704.46,25.86,45.5,21.64
806.94,23.07,43.45,23.64
755.61,28.36,39.17,23.5
868.73,29.37,35.89,24.35
869.97,28.07,32.19,24.42
769.97,28.59,34.39,24.04
898.72,30.33,34.88,26.37
952.78,28.55,36.27,23.57
962.37,24.75,35.53,26.87
923.68,25.63,36.08,23.34
977.42,26.78,34.95,21.23
1013.09,31.78,31.09,25.83
834.62,26.02,30.14,25.29
955.98,28.07,31.5,24.28
921.52,30.36,30.64,25.58
924.36,32.24,32.42,20.37
818.78,30.19,34.08,19.89
803.78,29.9,34.4,19.49
745.12,26.13,29.38,18.01
659.82,26.18,32.57,18.46
717.22,32.39,32.76,18.93
541.19,30.27,32.32,17.81
539.84,27.46,36.47,17.78
518.61,28.47,34.15,15.53
463.18,25.17,33.17,12.85
399.89,25.73,34.68,10.61
294.74,30.82,34.69,9.59
257.78,27.14,34.11,8.15
225.59,27.8,40.3,7.7
158.34,29.31,38.75,5.17
123.83,26.51,39.44,3.52
74.83,25.91,40.65,1.63
43.66,25.58,46.62,0.68
26.35,26.78,44.49,0.33
0.0,25.08,48.06,0.0
0.0,21.74,52.92,0.0
0.0,25.61,50.22,0.0
87.4,18.38,61.46,3.46
118.05,19.04,61.8,5.21
186.13,19.68,58.71,7.1
209.12,18.1,47.6,9.01
285.94,19.73,46.44,11.84
398.58,21.55,44.12,10.75
469.54,19.78,40.27,12.45
540.33,21.06,45.56,14.43
562.16,23.97,37.83,17.01
648.38,23.34,37.66,18.72
595.24,26.11,35.76,22.27
679.44,24.72,34.01,19.18
727.09,26.99,30.71,24.39
687.38,25.02,31.73,22.86
733.94,30.24,29.89,25.07
696.68,29.37,28.1,26.16
766.63,27.35,23.91,24.91
896.62,26.22,25.43,21.61
819.67,29.4,26.34,22.04
780.25,28.21,25.52,27.4
814.29,26.03,21.71,26.87
943.62,32.88,22.46,25.29
865.3,30.43,22.3,24.74
854.22,30.19,20.07,24.22
815.93,29.51,20.81,21.27
894.35,27.52,20.73,25.16
893.2,29.3,22.68,23.21
921.95,29.88,19.81,22.86
860.4,31.25,19.7,24.12
714.04,34.0,22.15,22.82
690.33,29.97,22.39,20.09
601.18,26.92,23.24,17.58
577.44,31.5,21.12,19.96
473.09,31.07,21.68,18.1
478.91,28.92,22.79,13.52
443.85,27.14,23.64,12.42
392.2,28.73,21.2,12.41
336.97,26.6,24.5,10.44
261.51,28.26,21.24,8.19
185.69,27.91,22.9,8.34
130.48,30.53,21.97,5.83
106.98,28.31,23.18,3.91
62.82,24.55,26.84,1.97
39.09,29.12,28.39,0.76
23.39,26.64,30.21,0.33
0.0,24.46,28.89,0.0
0.0,22.9,34.47,0.0
0.0,24.05,35.76,0.0
112.99,13.91,70.52,3.69
138.86,16.56,68.81,5.18
190.59,15.56,57.91,7.28
230.89,16.48,62.98,7.42
290.21,19.58,59.27,9.29
388.48,16.75,58.72,11.8
467.99,21.56,54.93,12.22
540.71,19.68,52.24,15.93
655.78,22.91,47.66,18.97
634.8,24.04,42.86,18.82
750.48,20.45,43.3,18.38
731.47,24.06,35.39,18.88
806.33,24.64,34.54,23.68
829.5,27.34,32.11,24.55
925.56,24.07,29.47,20.99
865.99,23.12,28.61,24.03
792.78,23.06,29.57,24.27
994.41,25.62,25.96,22.75
997.57,23.29,25.57,22.55
986.43,24.49,25.53,24.68
887.66,28.17,23.82,22.94
968.66,25.44,26.71,25.04
914.12,25.25,22.82,26.58
891.82,29.18,21.96,26.23
937.35,31.18,25.67,24.64
936.98,28.53,22.14,22.02
968.14,28.11,23.89,20.23
814.89,27.45,23.8,21.9
842.03,27.76,24.42,24.34
878.8,28.43,22.02,21.06
706.47,26.29,22.48,19.64
622.65,26.45,23.89,20.67
681.29,26.32,21.92,20.68
567.86,29.28,23.67,16.76
460.65,29.64,25.13,15.39
470.22,25.25,22.1,14.67
390.79,26.8,21.4,11.91
325.38,23.9,22.14,9.97
271.65,28.9,24.05,8.74
230.98,28.26,21.02,8.77
176.0,26.87,23.15,4.93
112.23,23.77,22.83,4.14
68.28,22.12,24.28,1.8
41.31,22.25,28.0,0.7
0.0,21.53,27.36,0.37
0.0,23.47,30.69,0.0
0.0,20.72,29.61,0.0
0.0,21.8,30.03,0.0
94.53,20.33,79.22,3.33
138.29,17.07,65.96,4.92
180.78,22.06,61.82,6.97
220.03,22.42,67.07,8.47
256.76,22.42,55.55,11.74
352.78,21.78,64.08,11.07
457.01,20.54,53.19,13.71
517.47,25.44,56.56,16.09
629.85,26.71,46.31,16.76
657.59,25.93,49.49,16.95
675.63,28.59,46.61,20.28
703.69,28.49,41.6,20.36
658.51,28.81,43.21,22.91
708.69,26.67,39.28,24.1
784.93,30.8,36.08,20.48
757.28,26.78,35.23,24.87
805.74,28.34,30.04,23.08
732.47,31.09,29.21,24.02
727.28,28.65,29.72,23.59
870.44,32.78,30.51,27.19
798.68,32.27,27.32,27.23
866.15,31.75,25.72,22.67
945.29,34.51,26.2,21.59
855.54,30.83,23.55,23.76
887.06,28.87,23.43,21.49
934.34,35.99,27.02,22.78
759.53,31.02,23.85,22.93
912.21,35.82,22.21,20.32
711.71,31.99,21.54,19.19
797.3,35.25,24.7,22.27
707.56,33.1,22.27,19.08
550.58,32.39,26.03,20.26
498.85,34.65,25.01,18.2
555.71,30.21,27.14,15.59
495.98,35.34,24.3,15.71
455.26,32.38,24.2,15.17
401.16,30.75,24.92,11.34
301.3,32.02,29.05,9.34
232.87,27.51,29.42,8.12
204.26,31.62,29.18,8.33
157.3,29.42,31.73,5.08
116.69,29.27,33.84,3.93
59.26,25.86,33.62,2.06
34.13,31.07,33.2,0.68
0.0,25.65,32.09,0.37
0.0,26.07,33.91,0.0
0.0,29.49,41.77,0.0
0.0,24.42,44.07,0.0
98.09,14.59,65.97,3.23
124.07,16.89,62.67,5.28
155.89,18.57,58.23,6.68
205.44,16.29,52.71,7.89
263.84,19.8,48.49,10.54
373.0,21.32,46.38,11.18
475.97,21.01,41.69,13.39
483.45,22.96,46.95,15.59
588.57,22.96,37.88,15.25
681.59,24.56,40.64,20.55
607.63,22.18,40.75,20.01
593.99,21.68,32.24,21.51
701.66,24.92,35.41,22.66
656.95,23.57,28.69,21.79
685.74,24.29,30.05,21.81
745.31,25.07,28.1,22.39
757.19,26.09,29.07,25.1
799.88,27.67,23.84,20.64
742.67,27.39,24.19,25.3
831.97,26.12,22.51,21.51
910.28,26.56,22.19,21.98
776.95,25.35,21.1,23.46
762.74,27.76,23.41,24.79
921.74,27.69,24.29,21.89
829.36,29.63,22.53,25.21
918.41,29.94,20.94,22.94
776.47,28.25,21.36,22.39
883.83,29.42,19.49,24.39
748.37,31.18,22.39,20.78
772.33,26.63,20.41,20.76
666.63,31.03,19.84,16.99
573.27,28.88,21.39,17.33
604.29,31.86,24.53,18.44
521.51,31.89,25.11,17.45
434.7,30.34,25.01,15.58
435.82,29.83,24.18,14.2
399.46,28.36,27.31,11.82
318.31,24.43,28.01,10.86
275.38,28.48,28.48,8.5
203.41,26.67,31.77,8.18
132.96,27.34,28.41,4.77
107.68,29.02,33.21,2.47
61.65,27.87,31.48,1.02
39.58,24.54,32.17,0.49
0.0,23.81,34.47,0.0
0.0,23.14,35.13,0.0
0.0,22.31,37.17,0.0
0.0,22.98,41.51,0.0
40.19,18.3,74.41,1.78
49.06,20.69,73.54,2.06
72.18,18.33,64.58,3.47
112.61,19.89,68.09,4.83
182.74,20.02,71.88,6.44
228.95,20.13,68.18,8.36
301.13,20.5,60.55,9.9
318.37,22.82,59.28,11.11
414.52,21.48,56.61,14.28
468.6,27.99,51.86,12.52
528.3,25.2,52.66,17.75
555.65,27.45,48.39,18.65
560.65,28.62,47.87,18.91
594.25,29.74,49.4,20.38
532.44,27.11,51.62,22.76
600.25,26.57,49.64,19.51
559.25,30.78,46.6,21.87
598.09,29.26,41.33,19.18
631.08,31.97,39.89,24.1
651.47,29.26,39.1,20.94
709.87,32.89,38.46,19.15
702.09,28.34,43.23,21.87
718.16,28.2,39.21,24.57
688.65,30.12,42.55,20.52
696.82,29.3,42.65,23.02
635.57,29.86,34.48,22.2
732.17,34.88,38.34,19.23
604.11,31.17,36.76,19.19
578.06,28.66,36.39,18.4
482.65,34.02,36.35,18.34
493.76,34.88,39.81,13.92
355.44,35.1,35.54,15.95
300.5,31.63,44.96,11.46
303.59,29.28,42.71,10.82
220.96,32.94,43.98,8.61
193.06,29.29,50.2,7.19
198.51,28.6,53.88,7.27
137.83,30.53,54.43,5.89
111.96,31.19,56.44,4.39
101.03,25.49,52.82,3.27
69.98,25.09,59.84,3.06
49.78,29.73,64.61,1.52
30.41,28.63,55.52,0.64
19.9,26.99,68.42,0.31
0.0,25.0,61.92,0.0
0.0,27.72,74.37,0.0
0.0,27.42,63.87,0.0
0.0,23.24,79.98,0.0
101.18,20.61,75.94,3.03
141.4,16.91,69.13,4.55
166.78,18.77,71.84,5.74
254.48,19.37,59.1,9.24
341.93,22.04,66.92,8.91
377.39,20.45,58.45,10.92
453.34,23.3,52.55,13.27
596.28,22.07,51.93,13.59
586.1,25.58,49.89,14.79
642.94,22.98,54.51,16.33
640.23,22.16,48.33,18.39
702.89,25.46,45.78,18.7
785.69,26.01,46.65,19.89
732.67,28.3,43.35,18.9
755.0,23.48,37.22,22.33
714.37,23.92,40.89,22.22
756.73,26.22,40.97,21.71
870.59,29.7,34.48,21.06
799.77,27.14,39.49,22.45
856.71,26.21,36.31,19.39
888.08,30.23,35.09,21.92
901.61,28.29,36.8,22.52
766.93,29.74,39.55,23.72
969.39,27.6,35.09,21.48
871.2,28.5,37.34,24.08
912.32,29.47,33.99,23.51
792.96,25.04,37.89,22.54
853.58,28.98,33.0,18.5
810.06,28.96,35.81,19.03
778.61,28.75,31.81,18.82
728.62,28.72,36.01,18.23
510.99,30.03,38.51,13.6
557.0,27.54,34.57,15.01
480.49,31.14,34.98,10.63
443.57,30.28,37.47,12.02
334.08,24.72,39.95,11.06
299.7,30.15,42.72,8.68
283.07,24.27,43.33,6.98
196.04,27.17,43.52,5.64
166.68,27.84,45.61,4.99
119.01,27.56,42.49,2.83
74.57,24.88,41.23,1.75
55.93,24.17,49.02,0.57
30.52,24.82,46.8,0.33
0.0,24.58,49.28,0.0
0.0,26.53,49.73,0.0
0.0,26.08,48.09,0.0
0.0,23.38,57.92,0.0
94.55,20.71,60.95,1.66
113.84,24.07,65.2,2.23
157.85,23.72,65.01,3.61
229.12,25.07,67.41,4.97
287.58,22.17,59.7,6.68
352.56,24.46,62.42,7.82
435.39,28.55,60.01,10.91
554.04,28.22,57.66,13.07
513.47,26.93,56.04,12.67
590.36,26.45,55.56,15.57
550.44,26.79,48.07,15.12
619.37,30.54,46.14,15.98
692.51,32.21,47.14,15.57
686.02,30.34,41.26,17.43
612.04,34.5,45.71,15.73
566.21,31.12,44.24,16.08
584.8,35.33,47.85,15.42
700.85,35.03,44.12,15.59
681.27,32.12,41.09,17.5
571.3,31.7,48.52,17.33
660.35,29.85,51.87,18.39
655.03,29.33,47.54,18.8
596.73,28.71,56.91,16.46
577.0,27.58,49.96,15.2
606.19,32.64,59.23,15.0
586.06,29.93,58.44,15.28
664.51,32.13,62.91,15.07
590.63,25.51,61.32,16.79
539.22,27.73,63.16,13.01
489.06,29.42,57.49,12.2
430.72,30.8,63.19,12.65
412.91,30.45,56.28,10.08
404.33,29.18,59.76,10.07
374.63,31.31,66.77,7.49
274.7,24.74,59.73,5.92
266.96,25.14,59.31,5.75
257.76,29.12,64.76,4.68
186.71,29.23,55.73,3.83
155.34,29.47,54.85,3.06
127.45,24.0,62.63,1.93
93.06,24.69,67.5,1.7
66.78,28.47,63.4,0.88
34.9,23.61,59.74,0.31
15.33,26.02,59.49,0.17
0.0,24.18,62.49,0.0
0.0,24.49,58.84,0.0
0.0,26.53,66.02,0.0
0.0,24.05,70.08,0.0
31.68,27.59,77.56,0.98
42.63,22.99,69.24,1.02
62.31,25.85,71.65,1.47
72.17,23.65,68.99,1.88
90.91,27.65,62.58,2.18
108.7,27.78,66.21,2.42
104.52,27.97,69.66,3.1
126.51,27.61,61.33,3.39
144.8,28.4,58.08,2.99
141.69,28.62,63.26,3.54
144.09,26.73,63.22,2.99
132.78,30.32,69.07,3.79
149.77,27.89,67.13,3.65
157.15,25.15,59.5,4.26
160.13,25.17,60.22,4.1
160.8,29.34,56.06,4.24
150.86,24.72,57.46,3.98
157.28,27.88,62.96,3.72
157.1,25.55,57.84,3.98
149.6,26.13,64.69,4.26
150.6,27.03,58.94,3.62
149.22,24.74,62.52,3.83
137.0,25.92,72.19,4.36
132.2,25.58,70.2,3.61
164.93,26.42,70.46,3.62
157.4,25.2,84.59,3.55
163.53,26.0,81.53,4.22
133.57,26.16,88.42,3.52
137.14,23.11,91.61,3.66
147.34,22.54,88.04,3.54
148.65,28.43,77.99,2.91
127.6,23.89,75.7,2.91
120.05,26.47,86.27,3.17
108.27,22.27,80.62,3.03
114.28,23.07,74.8,2.87
113.83,24.36,89.04,2.52
99.47,26.52,75.46,2.28
81.36,22.11,79.72,2.02
62.38,27.2,83.53,1.75
59.84,25.22,92.27,1.03
42.16,23.57,78.46,0.92
29.34,26.06,90.55,0.55
15.5,22.3,83.88,0.22
0.0,21.8,82.34,0.1
0.0,21.58,77.01,0.0
0.0,26.53,82.24,0.0
0.0,26.77,88.41,0.0
0.0,24.79,79.68,0.0
66.01,19.48,81.62,3.4
107.51,18.99,86.81,5.1
144.24,21.88,86.77,5.52
182.42,23.67,79.39,9.99
255.02,20.94,86.12,9.49
309.03,24.92,79.54,10.11
373.31,22.05,74.76,14.85
411.96,28.03,70.26,13.62
502.15,26.41,65.39,17.47
531.21,23.28,71.63,15.78
502.02,26.81,57.42,17.07
578.55,29.11,51.7,19.77
611.86,29.79,56.58,22.17
641.47,31.78,46.95,22.5
565.88,27.67,48.46,22.84
633.9,33.03,49.58,22.07
688.84,28.66,45.99,25.0
619.01,30.18,47.47,22.32
751.96,33.91,43.48,24.98
639.23,33.46,43.96,23.06
703.03,31.03,43.07,24.77
688.47,31.04,35.67,23.26
708.71,28.36,41.84,22.13
644.48,31.82,40.02,20.62
767.13,29.43,38.67,20.8
793.81,35.34,37.54,23.84
761.56,29.01,32.97,20.5
709.68,30.5,32.48,18.99
700.75,28.86,37.65,18.42
562.84,36.33,33.69,17.21
543.45,36.23,36.89,19.07
505.4,30.97,32.76,16.31
430.94,32.7,37.62,17.49
373.32,35.26,33.74,14.12
319.76,34.09,35.67,14.28
296.64,28.94,41.44,11.42
242.95,32.98,40.39,12.24
242.71,30.28,42.98,10.28
164.68,29.67,41.16,7.84
148.02,31.83,41.44,7.28
93.69,32.54,40.06,5.73
76.7,28.91,42.1,2.6
46.78,27.89,48.22,1.02
27.63,30.22,47.62,0.57
0.0,30.17,42.95,0.0
0.0,29.6,44.82,0.0
0.0,24.43,55.75,0.0
0.0,25.23,53.05,0.0
69.04,21.01,80.17,3.61
83.35,21.39,72.96,5.82
127.37,20.55,71.92,7.86
163.95,24.59,75.2,10.95
228.14,20.54,74.27,9.48
293.6,21.16,66.71,11.0
357.64,24.0,59.2,14.03
363.02,27.3,58.47,14.4
439.09,28.37,55.19,14.94
483.43,23.33,52.51,15.33
540.78,27.66,52.12,20.51
566.23,26.88,44.21,17.0
481.38,26.0,47.3,21.6
529.76,28.12,45.16,20.42
525.7,27.39,37.76,22.93
577.58,26.64,40.76,23.34
666.18,28.74,35.55,20.13
595.32,31.58,35.42,22.42
546.03,33.65,31.56,23.29
660.87,27.55,34.88,22.31
588.38,32.29,30.37,20.97
568.48,31.51,34.2,21.36
612.5,29.78,29.62,25.06
620.59,28.43,29.7,22.57
608.81,31.98,30.62,24.69
626.7,32.02,29.48,24.25
658.31,34.91,28.98,22.49
658.69,30.68,29.38,20.68
661.23,28.07,26.28,19.27
608.31,32.67,26.57,18.15
442.3,32.1,28.75,16.64
409.16,35.17,30.51,18.6
439.81,33.06,31.27,14.15
315.14,31.63,40.11,13.95
347.53,34.11,37.71,15.9
279.61,30.95,42.48,12.05
238.62,31.49,45.46,10.92
198.26,26.51,50.24,9.45
163.56,30.35,50.75,8.85
116.71,28.3,54.66,7.07
96.25,26.92,51.1,5.93
62.77,32.0,52.74,2.61
34.58,28.42,53.28,1.17
20.15,30.8,53.55,0.59
0.0,24.77,59.08,0.0
0.0,29.78,60.93,0.0
0.0,24.36,56.3,0.0
0.0,24.77,50.2,0.0
99.64,21.11,87.16,3.39
144.48,21.15,89.32,3.89
198.71,21.3,84.35,6.73
229.1,24.43,80.11,8.3
303.02,24.95,71.66,8.42
432.96,24.72,74.62,10.71
438.47,26.15,73.13,11.57
607.89,27.51,61.45,13.55
600.08,24.94,63.89,14.39
731.48,26.41,57.54,16.98
700.15,25.52,61.75,17.92
733.89,30.84,49.81,18.53
809.68,33.19,46.72,19.12
813.53,33.92,52.0,19.75
660.26,33.78,42.81,18.83
687.11,34.44,43.28,22.4
758.18,28.65,41.75,22.61
733.6,32.99,41.21,21.4
788.57,30.34,41.22,19.96
712.89,29.43,39.15,22.66
674.95,28.43,45.22,20.28
681.46,31.93,40.85,23.38
715.01,31.67,41.52,23.77
821.48,30.46,35.32,23.07
840.73,32.0,35.48,22.91
